,book_id,title,average_rating,ratings_1,ratings_2,ratings_3,ratings_4,ratings_5,ratings_count,authors
0,1,"The Hunger Games (The Hunger Games, #1)",,0,0,0,0,0,0,Suzanne Collins
1,2,"Harry Potter and the Sorcerer's Stone (Harry Potter, #1)",3.8333333333333335,0,6,14,24,16,60,"J.K. Rowling, Mary GrandPré"
2,3,"Twilight (Twilight, #1)",,0,0,0,0,0,0,Stephenie Meyer
3,4,To Kill a Mockingbird,4.343283582089552,0,3,7,21,36,67,Harper Lee
4,5,The Great Gatsby,3.8392857142857144,0,3,15,26,12,56,F. Scott Fitzgerald
5,6,The Fault in Our Stars,,0,0,0,0,0,0,John Green
6,7,The Hobbit,3.8333333333333335,2,0,6,15,7,30,J.R.R. Tolkien
7,8,The Catcher in the Rye,4.04,2,6,9,28,30,75,J.D. Salinger
8,9,"Angels & Demons  (Robert Langdon, #1)",3.161290322580645,4,6,6,11,4,31,Dan Brown
9,10,Pride and Prejudice,4.071428571428571,0,6,12,10,28,56,Jane Austen
10,11,The Kite Runner,4.086206896551724,2,1,10,22,23,58,Khaled Hosseini
11,12,"Divergent (Divergent, #1)",,0,0,0,0,0,0,Veronica Roth
12,13,1984,4.142857142857143,0,1,8,23,17,49,"George Orwell, Erich Fromm, Celâl Üster"
13,14,Animal Farm,3.6440677966101696,0,5,23,19,12,59,George Orwell
14,15,The Diary of a Young Girl,3.75,0,1,4,4,3,12,"Anne Frank, Eleanor Roosevelt, B.M. Mooyaart-Doubleday"
15,16,"The Girl with the Dragon Tattoo (Millennium, #1)",,0,0,0,0,0,0,"Stieg Larsson, Reg Keeland"
16,17,"Catching Fire (The Hunger Games, #2)",,0,0,0,0,0,0,Suzanne Collins
17,18,"Harry Potter and the Prisoner of Azkaban (Harry Potter, #3)",4.193548387096774,0,2,10,24,26,62,"J.K. Rowling, Mary GrandPré, Rufus Beck"
18,19,"The Fellowship of the Ring (The Lord of the Rings, #1)",4.380952380952381,0,0,1,11,9,21,J.R.R. Tolkien
19,20,"Mockingjay (The Hunger Games, #3)",,0,0,0,0,0,0,Suzanne Collins
20,21,"Harry Potter and the Order of the Phoenix (Harry Potter, #5)",3.9473684210526314,1,1,13,27,15,57,"J.K. Rowling, Mary GrandPré"
21,22,The Lovely Bones,3.391304347826087,3,0,8,9,3,23,Alice Sebold
22,23,"Harry Potter and the Chamber of Secrets (Harry Potter, #2)",3.6,1,4,11,18,6,40,"J.K. Rowling, Mary GrandPré"
23,24,"Harry Potter and the Goblet of Fire (Harry Potter, #4)",4.090909090909091,0,5,8,29,24,66,"J.K. Rowling, Mary GrandPré"
24,25,"Harry Potter and the Deathly Hallows (Harry Potter, #7)",4.333333333333333,0,0,0,4,2,6,"J.K. Rowling, Mary GrandPré"
25,26,"The Da Vinci Code (Robert Langdon, #2)",2.9367088607594938,8,17,30,20,4,79,Dan Brown
26,27,"Harry Potter and the Half-Blood Prince (Harry Potter, #6)",4.21875,0,1,9,29,25,64,"J.K. Rowling, Mary GrandPré"
27,28,Lord of the Flies,3.875,0,2,9,12,9,32,William Golding
28,29,Romeo and Juliet,3.689655172413793,0,1,10,15,3,29,"William Shakespeare, Robert           Jackson"
29,30,Gone Girl,,0,0,0,0,0,0,Gillian Flynn
30,31,The Help,,0,0,0,0,0,0,Kathryn Stockett
31,32,Of Mice and Men,3.8222222222222224,0,1,15,20,9,45,John Steinbeck
32,33,Memoirs of a Geisha,3.709090909090909,0,3,16,30,6,55,Arthur Golden
33,34,"Fifty Shades of Grey (Fifty Shades, #1)",,0,0,0,0,0,0,E.L. James
34,35,The Alchemist,3.5121951219512195,3,3,14,12,9,41,"Paulo Coelho, Alan R. Clarke"
35,36,"The Giver (The Giver, #1)",4.173913043478261,0,0,6,7,10,23,Lois Lowry
